candidate_id	status	message	source_cif	collected_cif	collected_pdb	ranking_score	ptm	iptm	fraction_disordered	has_clash
catharsius_molossus_2	ok		/mnt/external/TC/alphafold3_revision/outputs/catharsius_molossus_2/catharsius_molossus_2/catharsius_molossus_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/catharsius_molossus_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/catharsius_molossus_2.pdb	0.57	0.51		0.11	0.0
ceutorhynchus_napi_1	ok		/mnt/external/TC/alphafold3_revision/outputs/ceutorhynchus_napi_1/ceutorhynchus_napi_1/ceutorhynchus_napi_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/ceutorhynchus_napi_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ceutorhynchus_napi_1.pdb	0.63	0.52		0.21	0.0
ceutorhynchus_napi_3	ok		/mnt/external/TC/alphafold3_revision/outputs/ceutorhynchus_napi_3/ceutorhynchus_napi_3/ceutorhynchus_napi_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/ceutorhynchus_napi_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ceutorhynchus_napi_3.pdb	0.58	0.57		0.03	0.0
copris_lunaris_3	ok		/mnt/external/TC/alphafold3_revision/outputs/copris_lunaris_3/copris_lunaris_3/copris_lunaris_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/copris_lunaris_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/copris_lunaris_3.pdb	0.54	0.54		0.0	0.0
cucujus_clavipes_1	ok		/mnt/external/TC/alphafold3_revision/outputs/cucujus_clavipes_1/cucujus_clavipes_1/cucujus_clavipes_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/cucujus_clavipes_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/cucujus_clavipes_1.pdb	0.68	0.48		0.39	0.0
dichotomius_satanas_2	ok		/mnt/external/TC/alphafold3_revision/outputs/dichotomius_satanas_2/dichotomius_satanas_2/dichotomius_satanas_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/dichotomius_satanas_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/dichotomius_satanas_2.pdb	0.61	0.61		0.0	0.0
dichotomius_satanas_4	ok		/mnt/external/TC/alphafold3_revision/outputs/dichotomius_satanas_4/dichotomius_satanas_4/dichotomius_satanas_4_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/dichotomius_satanas_4.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/dichotomius_satanas_4.pdb	0.99	0.49		1.0	0.0
diphucephala_sp_2	ok		/mnt/external/TC/alphafold3_revision/outputs/diphucephala_sp_2/diphucephala_sp_2/diphucephala_sp_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/diphucephala_sp_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/diphucephala_sp_2.pdb	0.57	0.57		0.0	0.0
diphucephala_sp_3	ok		/mnt/external/TC/alphafold3_revision/outputs/diphucephala_sp_3/diphucephala_sp_3/diphucephala_sp_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/diphucephala_sp_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/diphucephala_sp_3.pdb	0.58	0.58		0.0	0.0
elateroides_flabellicornis_3	ok		/mnt/external/TC/alphafold3_revision/outputs/elateroides_flabellicornis_3/elateroides_flabellicornis_3/elateroides_flabellicornis_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/elateroides_flabellicornis_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/elateroides_flabellicornis_3.pdb	0.9	0.4		1.0	0.0
eophileurus_sp_2	ok		/mnt/external/TC/alphafold3_revision/outputs/eophileurus_sp_2/eophileurus_sp_2/eophileurus_sp_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/eophileurus_sp_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/eophileurus_sp_2.pdb	0.65	0.21		0.88	0.0
euoniticellus_fulvus_1	ok		/mnt/external/TC/alphafold3_revision/outputs/euoniticellus_fulvus_1/euoniticellus_fulvus_1/euoniticellus_fulvus_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/euoniticellus_fulvus_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/euoniticellus_fulvus_1.pdb	0.52	0.52		0.0	0.0
euwallacea_fornicatus_1	ok		/mnt/external/TC/alphafold3_revision/outputs/euwallacea_fornicatus_1/euwallacea_fornicatus_1/euwallacea_fornicatus_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/euwallacea_fornicatus_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/euwallacea_fornicatus_1.pdb	0.74	0.24		1.0	0.0
gaco00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gaco00000000_1/gaco00000000_1/gaco00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gaco00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gaco00000000_1.pdb	0.66	0.39		0.52	0.0
gbcx00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gbcx00000000_1/gbcx00000000_1/gbcx00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gbcx00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gbcx00000000_1.pdb	0.75	0.54		0.42	0.0
gdlg00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gdlg00000000_1/gdlg00000000_1/gdlg00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gdlg00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdlg00000000_1.pdb	0.63	0.52		0.22	0.0
gdmj00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gdmj00000000_1/gdmj00000000_1/gdmj00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gdmj00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdmj00000000_1.pdb	0.73	0.68		0.1	0.0
gdmq00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gdmq00000000_1/gdmq00000000_1/gdmq00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gdmq00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdmq00000000_1.pdb	0.93	0.43		1.0	0.0
gdnw00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gdnw00000000_1/gdnw00000000_1/gdnw00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gdnw00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdnw00000000_1.pdb	0.68	0.48		0.39	0.0
gdof00000000_2	ok		/mnt/external/TC/alphafold3_revision/outputs/gdof00000000_2/gdof00000000_2/gdof00000000_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gdof00000000_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdof00000000_2.pdb	0.8	0.5		0.59	0.0
geotrupes_spiniger_2	ok		/mnt/external/TC/alphafold3_revision/outputs/geotrupes_spiniger_2/geotrupes_spiniger_2/geotrupes_spiniger_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/geotrupes_spiniger_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/geotrupes_spiniger_2.pdb	0.52	0.02		1.0	0.0
gfuh00000000_2	ok		/mnt/external/TC/alphafold3_revision/outputs/gfuh00000000_2/gfuh00000000_2/gfuh00000000_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gfuh00000000_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gfuh00000000_2.pdb	0.83	0.33		1.0	0.0
ghma00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/ghma00000000_1/ghma00000000_1/ghma00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/ghma00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ghma00000000_1.pdb	0.65	0.65		0.0	0.0
ghma00000000_3	ok		/mnt/external/TC/alphafold3_revision/outputs/ghma00000000_3/ghma00000000_3/ghma00000000_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/ghma00000000_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ghma00000000_3.pdb	0.83	0.33		1.0	0.0
ghmd00000000_4	ok		/mnt/external/TC/alphafold3_revision/outputs/ghmd00000000_4/ghmd00000000_4/ghmd00000000_4_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/ghmd00000000_4.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ghmd00000000_4.pdb	0.79	0.46		0.66	0.0
ghxo00000000_6	ok		/mnt/external/TC/alphafold3_revision/outputs/ghxo00000000_6/ghxo00000000_6/ghxo00000000_6_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/ghxo00000000_6.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ghxo00000000_6.pdb	0.7	0.7		0.0	0.0
gjbk00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gjbk00000000_1/gjbk00000000_1/gjbk00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gjbk00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gjbk00000000_1.pdb	0.72	0.59		0.26	0.0
gjbk00000000_2	ok		/mnt/external/TC/alphafold3_revision/outputs/gjbk00000000_2/gjbk00000000_2/gjbk00000000_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gjbk00000000_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gjbk00000000_2.pdb	0.57	0.51		0.11	0.0
gjvn00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gjvn00000000_1/gjvn00000000_1/gjvn00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gjvn00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gjvn00000000_1.pdb	0.57	0.57		0.0	0.0
gjvo00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gjvo00000000_1/gjvo00000000_1/gjvo00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gjvo00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gjvo00000000_1.pdb	0.63	0.51		0.23	0.0
gkjd00000000_2	ok		/mnt/external/TC/alphafold3_revision/outputs/gkjd00000000_2/gkjd00000000_2/gkjd00000000_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gkjd00000000_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkjd00000000_2.pdb	0.71	0.61		0.2	0.0
gkjd00000000_3	ok		/mnt/external/TC/alphafold3_revision/outputs/gkjd00000000_3/gkjd00000000_3/gkjd00000000_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gkjd00000000_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkjd00000000_3.pdb	0.7	0.7		0.0	0.0
gkjh00000000_2	ok		/mnt/external/TC/alphafold3_revision/outputs/gkjh00000000_2/gkjh00000000_2/gkjh00000000_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gkjh00000000_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkjh00000000_2.pdb	0.62	0.44		0.36	0.0
gkjj00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gkjj00000000_1/gkjj00000000_1/gkjj00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gkjj00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkjj00000000_1.pdb	0.88	0.41		0.93	0.0
gkjr00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gkjr00000000_1/gkjr00000000_1/gkjr00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gkjr00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkjr00000000_1.pdb	0.55	0.36		0.38	0.0
gkke00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/gkke00000000_1/gkke00000000_1/gkke00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gkke00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkke00000000_1.pdb	0.56	0.56		0.0	0.0
gkke00000000_2	ok		/mnt/external/TC/alphafold3_revision/outputs/gkke00000000_2/gkke00000000_2/gkke00000000_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/gkke00000000_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkke00000000_2.pdb	0.57	0.57		0.0	0.0
hbua00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/hbua00000000_1/hbua00000000_1/hbua00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/hbua00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/hbua00000000_1.pdb	0.66	0.32		0.68	0.0
heteronyx_sp_3	ok		/mnt/external/TC/alphafold3_revision/outputs/heteronyx_sp_3/heteronyx_sp_3/heteronyx_sp_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/heteronyx_sp_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/heteronyx_sp_3.pdb	0.73	0.23		1.0	0.0
hydroscapha_redfordi_1	ok		/mnt/external/TC/alphafold3_revision/outputs/hydroscapha_redfordi_1/hydroscapha_redfordi_1/hydroscapha_redfordi_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/hydroscapha_redfordi_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/hydroscapha_redfordi_1.pdb	0.73	0.68		0.1	0.0
hygrobia_hermanni_1	ok		/mnt/external/TC/alphafold3_revision/outputs/hygrobia_hermanni_1/hygrobia_hermanni_1/hygrobia_hermanni_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/hygrobia_hermanni_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/hygrobia_hermanni_1.pdb	0.52	0.02		1.0	0.0
iclg00000000_1	ok		/mnt/external/TC/alphafold3_revision/outputs/iclg00000000_1/iclg00000000_1/iclg00000000_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/iclg00000000_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/iclg00000000_1.pdb	0.52	0.02		1.0	0.0
lepiserica_sp_1	ok		/mnt/external/TC/alphafold3_revision/outputs/lepiserica_sp_1/lepiserica_sp_1/lepiserica_sp_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/lepiserica_sp_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/lepiserica_sp_1.pdb	0.53	0.03		1.0	0.0
lepiserica_sp_4	ok		/mnt/external/TC/alphafold3_revision/outputs/lepiserica_sp_4/lepiserica_sp_4/lepiserica_sp_4_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/lepiserica_sp_4.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/lepiserica_sp_4.pdb	0.65	0.54		0.22	0.0
lepiserica_sp_5	ok		/mnt/external/TC/alphafold3_revision/outputs/lepiserica_sp_5/lepiserica_sp_5/lepiserica_sp_5_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/lepiserica_sp_5.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/lepiserica_sp_5.pdb	0.55	0.44		0.2	0.0
maechidius_sp_1	ok		/mnt/external/TC/alphafold3_revision/outputs/maechidius_sp_1/maechidius_sp_1/maechidius_sp_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/maechidius_sp_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/maechidius_sp_1.pdb	0.78	0.28		1.0	0.0
microcara_testacea_1	ok		/mnt/external/TC/alphafold3_revision/outputs/microcara_testacea_1/microcara_testacea_1/microcara_testacea_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/microcara_testacea_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/microcara_testacea_1.pdb	0.6	0.44		0.32	0.0
migdolus_fryanus_1	ok		/mnt/external/TC/alphafold3_revision/outputs/migdolus_fryanus_1/migdolus_fryanus_1/migdolus_fryanus_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/migdolus_fryanus_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/migdolus_fryanus_1.pdb	0.7	0.55		0.3	0.0
migdolus_fryanus_4	ok		/mnt/external/TC/alphafold3_revision/outputs/migdolus_fryanus_4/migdolus_fryanus_4/migdolus_fryanus_4_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/migdolus_fryanus_4.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/migdolus_fryanus_4.pdb	0.74	0.74		0.0	0.0
ocypus_brunnipes_1	ok		/mnt/external/TC/alphafold3_revision/outputs/ocypus_brunnipes_1/ocypus_brunnipes_1/ocypus_brunnipes_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/ocypus_brunnipes_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ocypus_brunnipes_1.pdb	0.55	0.36		0.38	0.0
orphnus_sp_1	ok		/mnt/external/TC/alphafold3_revision/outputs/orphnus_sp_1/orphnus_sp_1/orphnus_sp_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/orphnus_sp_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/orphnus_sp_1.pdb	0.57	0.46		0.23	0.0
orphnus_sp_2	ok		/mnt/external/TC/alphafold3_revision/outputs/orphnus_sp_2/orphnus_sp_2/orphnus_sp_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/orphnus_sp_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/orphnus_sp_2.pdb	0.52	0.02		1.0	0.0
phyllotocus_sp_3	ok		/mnt/external/TC/alphafold3_revision/outputs/phyllotocus_sp_3/phyllotocus_sp_3/phyllotocus_sp_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/phyllotocus_sp_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/phyllotocus_sp_3.pdb	0.63	0.55		0.16	0.0
psylliodes_chrysocephalus_1	ok		/mnt/external/TC/alphafold3_revision/outputs/psylliodes_chrysocephalus_1/psylliodes_chrysocephalus_1/psylliodes_chrysocephalus_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/psylliodes_chrysocephalus_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/psylliodes_chrysocephalus_1.pdb	0.59	0.59		0.0	0.0
psylliodes_chrysocephalus_2	ok		/mnt/external/TC/alphafold3_revision/outputs/psylliodes_chrysocephalus_2/psylliodes_chrysocephalus_2/psylliodes_chrysocephalus_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/psylliodes_chrysocephalus_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/psylliodes_chrysocephalus_2.pdb	0.63	0.51		0.23	0.0
scitalia_sp_1	ok		/mnt/external/TC/alphafold3_revision/outputs/scitalia_sp_1/scitalia_sp_1/scitalia_sp_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/scitalia_sp_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/scitalia_sp_1.pdb	0.82	0.32		1.0	0.0
serica_brunnea_1	ok		/mnt/external/TC/alphafold3_revision/outputs/serica_brunnea_1/serica_brunnea_1/serica_brunnea_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/serica_brunnea_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/serica_brunnea_1.pdb	0.69	0.69		0.0	0.0
sitophilus_oryzae_2	ok		/mnt/external/TC/alphafold3_revision/outputs/sitophilus_oryzae_2/sitophilus_oryzae_2/sitophilus_oryzae_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/sitophilus_oryzae_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/sitophilus_oryzae_2.pdb	0.64	0.57		0.14	0.0
sitophilus_zeamais_2	ok		/mnt/external/TC/alphafold3_revision/outputs/sitophilus_zeamais_2/sitophilus_zeamais_2/sitophilus_zeamais_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/sitophilus_zeamais_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/sitophilus_zeamais_2.pdb	0.91	0.41		1.0	0.0
spercheus_emarginatus_2	ok		/mnt/external/TC/alphafold3_revision/outputs/spercheus_emarginatus_2/spercheus_emarginatus_2/spercheus_emarginatus_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/spercheus_emarginatus_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/spercheus_emarginatus_2.pdb	0.53	0.03		1.0	0.0
srr1562204_2	ok		/mnt/external/TC/alphafold3_revision/outputs/srr1562204_2/srr1562204_2/srr1562204_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/srr1562204_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/srr1562204_2.pdb	0.59	0.59		0.0	0.0
srr1562204_4	ok		/mnt/external/TC/alphafold3_revision/outputs/srr1562204_4/srr1562204_4/srr1562204_4_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/srr1562204_4.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/srr1562204_4.pdb	0.7	0.55		0.3	0.0
srr1562205_1	ok		/mnt/external/TC/alphafold3_revision/outputs/srr1562205_1/srr1562205_1/srr1562205_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/srr1562205_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/srr1562205_1.pdb	0.62	0.46		0.33	0.0
srr1562205_4	ok		/mnt/external/TC/alphafold3_revision/outputs/srr1562205_4/srr1562205_4/srr1562205_4_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/srr1562205_4.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/srr1562205_4.pdb	0.74	0.74		0.0	0.0
