cluster_id	candidate_id	cluster_size	cluster_type	species	mature_len	plddt_mean	sacc	pident	qcovhsp	evalue	go_transfer_support	uniprot_protein_name	GO_MF	GO_BP	GO_CC	functional_category	final_functional_category	functional_label	functional_annotation_status	preliminary_novelty_status	manual_review_note
MC11	gfuh00000000_2	2	recurrent	Amphizoa_lecontei	24	89.80999978383382	Q21EP1	62.5	54.0	7.1	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structurally_recurrent	
MC12	lepiserica_sp_1	2	recurrent	Lepiserica_sp	16	94.36750030517578	P23253	80.0	63.0	3.6	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structurally_recurrent	
MC13	psylliodes_chrysocephalus_2	2	recurrent	Psylliodes_chrysocephalus	65	58.57353844275841	Q9TWG0	53.571	86.0	1.81e-08	strong_GO_transfer_support	KappaPI-actitoxin-Avd3b	GO:0004867|serine-type endopeptidase inhibitor activity;GO:0008200|ion channel inhibitor activity;GO:0015459|potassium channel regulator activity;GO:0090729|toxin activity		GO:0005615|extracellular space;GO:0042151|nematocyst	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structurally_recurrent	Structural interpretation should be cautious because mean pLDDT is below 70.
MC14	bolboceras_sp_1	1	singleton	Bolboceras_sp	11	97.6872725053267	P73001	87.5	73.0	2.7	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structural_singleton	
MC15	eophileurus_sp_2	1	singleton	Eophileurus_sp	33	70.60151545206706	P0DM55	53.125	88.0	0.074	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structural_singleton	
MC16	euwallacea_fornicatus_1	1	singleton	Euwallacea_fornicatus	31	68.47193539527154	B2BS84	55.556	87.0	0.044	moderate_GO_transfer_support	Putative Kunitz-type serine protease inhibitor	GO:0004867|serine-type endopeptidase inhibitor activity		GO:0005576|extracellular region	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structural_singleton	Structural interpretation should be cautious because mean pLDDT is below 70.
MC17	geotrupes_spiniger_2	1	singleton	Geotrupes_spiniger	12	92.18583297729492	Q96QV1	88.889	75.0	0.54	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structural_singleton	
MC18	ghma00000000_3	1	singleton	Dichotomius_satanas	53	61.65452841992648	P00768	70.213	89.0	2.400000000000001e-21	strong_GO_transfer_support	Chymotrypsin-2	GO:0004252|serine-type endopeptidase activity	GO:0016485|protein processing	GO:0005576|extracellular region	enzyme_like	enzyme_like	Enzyme-like	putative_function_from_curated_homolog	structural_singleton	Structural interpretation should be cautious because mean pLDDT is below 70.
MC19	gkjj00000000_1	1	singleton	Astenopholis_sp	28	88.6585715157645	Q5XH73	55.0	71.0	0.63	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structural_singleton	
MC20	hbua00000000_1	1	singleton	Diabrotica_virgifera	34	63.40264701843262	P82176	67.857	82.0	0.016	moderate_GO_transfer_support	Inducible metalloproteinase inhibitor protein	GO:0008191|metalloendopeptidase inhibitor activity	GO:0009653|anatomical structure morphogenesis;GO:0030198|extracellular matrix organization;GO:0042060|wound healing	GO:0005615|extracellular space	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structural_singleton	Structural interpretation should be cautious because mean pLDDT is below 70.
MC21	heteronyx_sp_3	1	singleton	Heteronyx_sp	60	43.47716655731201	Q9VDG1	43.137	83.0	4.27e-05	strong_GO_transfer_support	Protein pegasus	GO:0004867|serine-type endopeptidase inhibitor activity;GO:0017147|Wnt-protein binding	GO:0008587|imaginal disc-derived wing margin morphogenesis;GO:0035592|establishment of protein localization to extracellular region;GO:0090263|positive regulation of canonical Wnt signaling pathway	GO:0005615|extracellular space	protease_inhibitor_like	other_or_uncertain	Other/uncertain	putative_function_from_curated_homolog	structural_singleton	Automatic protease-inhibitor classification was not retained. The curated homolog is Protein pegasus; functional interpretation remains uncertain despite sequence similarity. Structural interpretation should be cautious because mean pLDDT is below 70.
MC22	hygrobia_hermanni_1	1	singleton	Hygrobia_hermanni	11	85.83000113747336	P40189	80.0	91.0	1.4	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structural_singleton	
MC23	maechidius_sp_1	1	singleton	Maechidius_sp	30	73.89533297220866	Q08E66	57.692	87.0	2.12e-06	strong_GO_transfer_support	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2	GO:0004867|serine-type endopeptidase inhibitor activity;GO:0048019|receptor antagonist activity;GO:0050431|transforming growth factor beta binding	GO:0007179|transforming growth factor beta receptor signaling pathway;GO:0030512|negative regulation of transforming growth factor beta receptor signaling pathway	GO:0005615|extracellular space	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structural_singleton	
MC24	orphnus_sp_2	1	singleton	Orphnus_sp	9	93.49111005995007					no_hit					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	priority_candidate_for_putatively_distinct_scaffold	
MC25	sitophilus_oryzae_2	1	singleton	Sitophilus_oryzae	36	81.96666675143771	B5KL29	53.846	72.0	0.048	moderate_GO_transfer_support	Kunitz-type serine protease inhibitor scutellin-3	GO:0004867|serine-type endopeptidase inhibitor activity		GO:0005576|extracellular region	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structural_singleton	
MC26	spercheus_emarginatus_2	1	singleton	Spercheus_emarginatus	9	96.91222212049696	O14275	100.0	78.0	1.8	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structural_singleton	
