cluster_id	candidate_id	source_pdb	query_pdb	status	cluster_size	plddt_mean	functional_category
MC11	gfuh00000000_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gfuh00000000_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC11_gfuh00000000_2.pdb	copied	2	89.80999978383382	unresolved
MC12	lepiserica_sp_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/lepiserica_sp_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC12_lepiserica_sp_1.pdb	copied	2	94.36750030517578	unresolved
MC13	psylliodes_chrysocephalus_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/psylliodes_chrysocephalus_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC13_psylliodes_chrysocephalus_2.pdb	copied	2	58.57353844275841	protease_inhibitor_like
MC14	bolboceras_sp_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/bolboceras_sp_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC14_bolboceras_sp_1.pdb	copied	1	97.6872725053267	unresolved
MC15	eophileurus_sp_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/eophileurus_sp_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC15_eophileurus_sp_2.pdb	copied	1	70.60151545206706	unresolved
MC16	euwallacea_fornicatus_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/euwallacea_fornicatus_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC16_euwallacea_fornicatus_1.pdb	copied	1	68.47193539527154	protease_inhibitor_like
MC17	geotrupes_spiniger_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/geotrupes_spiniger_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC17_geotrupes_spiniger_2.pdb	copied	1	92.18583297729492	unresolved
MC18	ghma00000000_3	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/ghma00000000_3.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC18_ghma00000000_3.pdb	copied	1	61.65452841992648	enzyme_like
MC19	gkjj00000000_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkjj00000000_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC19_gkjj00000000_1.pdb	copied	1	88.6585715157645	unresolved
MC20	hbua00000000_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/hbua00000000_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC20_hbua00000000_1.pdb	copied	1	63.40264701843262	protease_inhibitor_like
MC21	heteronyx_sp_3	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/heteronyx_sp_3.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC21_heteronyx_sp_3.pdb	copied	1	43.47716655731201	protease_inhibitor_like
MC22	hygrobia_hermanni_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/hygrobia_hermanni_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC22_hygrobia_hermanni_1.pdb	copied	1	85.83000113747336	unresolved
MC23	maechidius_sp_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/maechidius_sp_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC23_maechidius_sp_1.pdb	copied	1	73.89533297220866	protease_inhibitor_like
MC24	orphnus_sp_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/orphnus_sp_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC24_orphnus_sp_2.pdb	copied	1	93.49111005995007	unresolved
MC25	sitophilus_oryzae_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/sitophilus_oryzae_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC25_sitophilus_oryzae_2.pdb	copied	1	81.96666675143771	protease_inhibitor_like
MC26	spercheus_emarginatus_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/spercheus_emarginatus_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC26_spercheus_emarginatus_2.pdb	copied	1	96.91222212049696	unresolved
