candidate_id	species	tox_fasta_path	signalp_call	signalp_score	len_aa	n_cys	cys_density	cys_grammar	cys_gaps	net_charge_pH7	gravy	aromaticity	instability_index	signalp_prediction	is_secreted	plddt_mean	plddt_std	struct_pass	rg	dssp_n_res	sec_helix_frac	sec_sheet_frac	sec_coil_frac	n_cys_sg	n_disulfide_pairs	disulfide_pairs	gravy_1_20	priority_score_simple
Euoniticellus_fulvus_1	Euoniticellus_fulvus	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Euoniticellus_fulvus/GKIT00000000.toxin_renomeado.fasta	1	0.999889	77	10	0.12987012987012986	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,7,3,3,1,11,5	3.0	0.22337662337662328	0.11688311688311687	25.235194805194805	SP(Sec/SPI)	1	86.04233038860819	11.50721658550556	1.0	20.25348717590672	0.0	0.0	0.0	0.0	10.0	5.0	A24-A57;A33-A53;A37-A49;A41-A77;A59-A71	0.22337662337662328	1.31458634545204
Tenebrio_molitor_2	Tenebrio_molitor	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Tenebrio_molitor/Tenebrio_molitor.fas.pasta.toxin_renomeado.fasta	1	0.998506	85	11	0.12941176470588237	C-x(16)-C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	16,8,3,3,7,3,3,1,11,5	3.0	0.25764705882352945	0.09411764705882353	10.994117647058822	SP(Sec/SPI)	1	80.0178425195649	20.436180148824594	1.0	22.889799474028724	0.0	0.0	0.0	0.0	11.0	5.0	A32-A65;A41-A61;A45-A57;A49-A85;A67-A79	0.25764705882352945	1.3096916651224417
Sophrops_sp_1	Sophrops_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Sophrops_sp/GKKB00000000.toxin_renomeado.fasta	1	0.99978	80	11	0.1375	C-x(17)-C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	17,8,3,3,9,3,3,1,11,5	3.0999999999999996	0.18249999999999994	0.075	27.781249999999996	SP(Sec/SPI)	1	87.61417372358065	10.526544719125374	1.0	20.072076219787746	0.0	0.0	0.0	0.0	11.0	5.0	A24-A59;A33-A55;A37-A51;A41-A79;A61-A73	0.18249999999999994	1.3081604343089515
Lepiserica_sp_1	Lepiserica_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Lepiserica_sp/GKKQ00000000.toxin_renomeado.fasta	1	0.999881	78	10	0.1282051282051282	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	6.1	0.1948717948717949	0.07692307692307693	27.726923076923075	SP(Sec/SPI)	1	83.36585204080131	13.778729818823994	1.0	19.795882695249773	0.0	0.0	0.0	0.0	10.0	5.0	A23-A58;A32-A54;A36-A50;A40-A78;A60-A72	0.1948717948717949	1.2989274506148238
Scitalia_sp_3	Scitalia_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Scitalia_sp/GKKH00000000.toxin_renomeado.fasta	1	0.999916	78	11	0.14102564102564102	C-x(16)-C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	16,8,3,3,9,3,3,1,11,5	5.1	0.18333333333333335	0.08974358974358976	38.75897435897434	SP(Sec/SPI)	1	83.1983478593072	17.311330171047725	1.0	20.53244007294985	0.0	0.0	0.0	0.0	11.0	5.0	A22-A57;A31-A53;A35-A49;A39-A77;A59-A71	0.18333333333333335	1.2982522799046783
Sisyphus_schaefferi_3	Sisyphus_schaefferi	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Sisyphus_schaefferi/GKIS00000000.toxin_renomeado.fasta	1	0.999884	76	10	0.13157894736842105	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,7,3,3,1,11,5	3.1999999999999993	0.15657894736842104	0.10526315789473684	35.77513157894736	SP(Sec/SPI)	1	86.23798947901159	12.345996114928015	1.0	19.619260522859054	0.0	0.0	0.0	0.0	10.0	5.0	A23-A56;A32-A52;A36-A48;A40-A76;A58-A70	0.15657894736842104	1.2954633947501606
Copris_lunaris_1	Copris_lunaris	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Copris_lunaris/GKIU00000000.toxin_renomeado.fasta	1	0.999858	77	10	0.12987012987012986	C-x(8)-C-x(3)-C-x(3)-C-x(8)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,8,3,3,1,11,5	4.1	0.1727272727272728	0.11688311688311688	28.02597402597403	SP(Sec/SPI)	1	82.62217158569763	13.735682485430743	1.0	19.931810889110857	0.0	0.0	0.0	0.0	10.0	5.0	A23-A57;A32-A53;A36-A49;A40-A77;A59-A71	0.1727272727272728	1.2908411432499585
Onthophagus_similis_1	Onthophagus_similis	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Onthophagus_similis/Onthophagus_similis.fas.pasta.toxin_renomeado.fasta	1	0.999894	76	10	0.13157894736842105	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,7,3,3,1,11,5	3.0	0.1407894736842104	0.13157894736842105	31.73697368421053	SP(Sec/SPI)	1	85.87689366099306	12.912430729706676	1.0	19.438207386719245	0.0	0.0	0.0	0.0	10.0	5.0	A23-A56;A32-A52;A36-A48;A40-A76;A58-A70	0.1407894736842104	1.2898238130998512
Serica_brunnea_2	Serica_brunnea	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Serica_brunnea/Serica_brunnea.fas.pasta.toxin_renomeado.fasta	1	0.999868	78	10	0.1282051282051282	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	5.1	0.17179487179487193	0.11538461538461539	25.67179487179487	SP(Sec/SPI)	1	80.45117536476565	18.68809553608778	1.0	21.354079402567645	0.0	0.0	0.0	0.0	10.0	5.0	A23-A58;A32-A54;A36-A50;A40-A78;A60-A72	0.17179487179487193	1.2847176820016577
Melanotus_villosus_1	Melanotus_villosus	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Melanotus_villosus/Melanotus_villosus.fas.pasta.toxin_renomeado.fasta	1	0.99971	91	10	0.10989010989010989	C-x(8)-C-x(3)-C-x(3)-C-x(6)-C-x(6)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,6,6,3,1,11,5	3.0	0.18461538461538446	0.07692307692307693	28.192307692307686	SP(Sec/SPI)	1	78.92297651620905	23.42924192839288	1.0	26.06768123267676	0.0	0.0	0.0	0.0	10.0	5.0	A30-A65;A39-A61;A43-A54;A47-A85;A67-A79	0.18461538461538446	1.2801645841476654
Triodontella_sp_4	Triodontella_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Triodontella_sp/GKKL00000000.toxin_renomeado.fasta	1	0.999907	77	10	0.12987012987012986	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	4.1	0.11818181818181814	0.07792207792207792	32.15974025974026	SP(Sec/SPI)	1	84.32061406854997	15.329613166322883	1.0	18.076828291548786	0.0	0.0	0.0	0.0	10.0	5.0	A22-A57;A31-A53;A35-A49;A39-A77;A59-A71	0.11818181818181814	1.2787236130934527
Phyllotocus_sp_2	Phyllotocus_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Phyllotocus_sp/GKKF00000000.toxin_renomeado.fasta	1	0.999884	78	11	0.14102564102564102	C-x(16)-C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	16,8,3,3,9,3,3,1,11,5	5.199999999999999	0.11410256410256416	0.11538461538461539	26.643589743589743	SP(Sec/SPI)	1	82.97801693415238	18.48119866998666	1.0	21.841816493548265	0.0	0.0	0.0	0.0	11.0	5.0	A22-A57;A31-A53;A35-A49;A39-A77;A59-A71	0.11410256410256416	1.2769322218225605
Spercheus_emarginatus_2	Spercheus_emarginatus	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Spercheus_emarginatus/GDMT00000000.toxin_renomeado.fasta	1	0.999827	78	10	0.1282051282051282	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(12)-C-x(5)-C	8,3,3,7,3,3,1,12,5	5.0	0.10256410256410277	0.06410256410256411	36.447435897435895	SP(Sec/SPI)	1	83.23727124701324	19.668346701987804	1.0	21.68773994565126	0.0	0.0	0.0	0.0	10.0	5.0	A22-A55;A31-A51;A35-A47;A39-A76;A57-A70	0.10256410256410277	1.270913690938046
Aphodius_scrutator_2	Aphodius_scrutator	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Aphodius_scrutator/GKIV00000000.toxin_renomeado.fasta	1	0.999864	78	10	0.1282051282051282	C-x(8)-C-x(3)-C-x(3)-C-x(8)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,8,3,3,1,11,5	4.1	0.07179487179487197	0.08974358974358976	20.996153846153845	SP(Sec/SPI)	1	84.54673544238113	13.496848861548893	1.0	20.776647260507985	0.0	0.0	0.0	0.0	10.0	5.0	A23-A57;A32-A53;A36-A49;A40-A77;A59-A71	0.07179487179487197	1.2649565821956965
Onthophagus_curvicornis_1	Onthophagus_curvicornis	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Onthophagus_curvicornis/Onthophagus_curvicornis.fas.pasta.toxin_renomeado.fasta	1	0.999906	76	10	0.13157894736842105	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,7,3,3,1,11,5	2.0999999999999996	0.03421052631578941	0.10526315789473685	25.010657894736845	SP(Sec/SPI)	1	87.90043706827231	10.01224497061137	1.0	19.332796380845174	0.0	0.0	0.0	0.0	10.0	5.0	A23-A56;A32-A52;A36-A48;A40-A76;A58-A70	0.03421052631578941	1.2629089874075228
Dichotomius_satanas_1	Dichotomius_satanas	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Dichotomius_satanas/Dichotomius_satanas.fas.pasta.toxin_renomeado.fasta	1	0.999906	76	10	0.13157894736842105	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,7,3,3,1,11,5	2.0999999999999996	0.03421052631578941	0.10526315789473685	25.010657894736845	SP(Sec/SPI)	1	87.44793707174021	10.437061557582524	1.0	20.189918456667346	0.0	0.0	0.0	0.0	10.0	5.0	A23-A56;A32-A52;A36-A48;A40-A76;A58-A70	0.03421052631578941	1.2617777374161925
Pachypus_sp_1	Pachypus_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Pachypus_sp/GKKS00000000.toxin_renomeado.fasta	1	0.999285	85	11	0.12941176470588237	C-x(20)-C-x(8)-C-x(3)-C-x(3)-C-x(6)-C-x(6)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	20,8,3,3,6,6,3,1,11,5	4.1	0.020000000000000066	0.08235294117647059	35.52941176470588	SP(Sec/SPI)	1	83.17940831509996	19.81862342690896	1.0	23.25651194713274	0.0	0.0	0.0	0.0	11.0	5.0	A27-A62;A36-A58;A40-A51;A44-A82;A64-A76	0.020000000000000066	1.2463014619642205
Bolboceras_sp_3	Bolboceras_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Bolboceras_sp/GKKA00000000.toxin_renomeado.fasta	1	0.999897	77	10	0.12987012987012986	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,7,3,3,1,11,5	2.0999999999999996	0.02467532467532481	0.11688311688311688	34.345584415584405	SP(Sec/SPI)	1	81.20611193386524	18.58029340962981	1.0	19.214724603450335	0.0	0.0	0.0	0.0	10.0	5.0	A23-A56;A32-A52;A36-A48;A40-A76;A58-A70	0.02467532467532481	1.242885409704793
Macrosiagon_limbatum_2	Macrosiagon_limbatum	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Macrosiagon_limbatum/Macrosiagon_limbatum.fas.pasta.toxin_renomeado.fasta	1	0.999777	81	10	0.12345679012345678	C-x(8)-C-x(3)-C-x(3)-C-x(6)-C-x(6)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,6,6,3,1,11,5	2.0999999999999996	-0.028395061728395114	0.07407407407407407	31.859259259259243	SP(Sec/SPI)	1	85.01179771362109	16.887760004360803	1.0	25.976052974959508	0.0	0.0	0.0	0.0	10.0	5.0	A26-A61;A35-A57;A39-A50;A43-A81;A63-A75	-0.028395061728395114	1.2348751732963983
Byturus_ochraceus_1	Byturus_ochraceus	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Byturus_ochraceus/Byturus_ochraceus.fas.pasta.toxin_renomeado.fasta	1	0.99922	90	11	0.12222222222222222	C-x(15)-C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(12)-C-x(5)-C	15,8,3,3,7,3,3,1,12,5	6.0	0.04222222222222229	0.08888888888888888	39.703333333333305	SP(Sec/SPI)	1	73.80102795896376	22.716674453854203	1.0	20.760095494900966	0.0	0.0	0.0	0.0	11.0	5.0	A26-A59;A35-A55;A39-A51;A43-A80;A61-A74	0.04222222222222229	1.2277247921196317
Geotrupes_spiniger_2	Geotrupes_spiniger	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Geotrupes_spiniger/GKIY00000000.toxin_renomeado.fasta	1	0.999777	76	10	0.13157894736842105	C-x(8)-C-x(3)-C-x(3)-C-x(8)-C-x(3)-C-x(3)-C-x(1)-C-x(10)-C-x(5)-C	8,3,3,8,3,3,1,10,5	1.0	-0.08552631578947371	0.06578947368421052	39.83684210526315	SP(Sec/SPI)	1	83.30736657818017	18.970416081111694	1.0	22.243886149039398	0.0	0.0	0.0	0.0	10.0	5.0	A21-A55;A30-A51;A34-A47;A38-A74;A57-A68	-0.08552631578947371	1.2155052585507136
Lepiserica_sp_3	Lepiserica_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Lepiserica_sp/GKKQ00000000.toxin_renomeado.fasta	1	0.999426	96	13	0.13541666666666666	C-x(4)-C-x(22)-C-x(8)-C-x(3)-C-x(3)-C-x(6)-C-x(6)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C-x(6)-C	4,22,8,3,3,6,6,3,1,11,5,6	10.0	-0.08854166666666691	0.052083333333333336	25.703124999999996	SP(Sec/SPI)	1	78.9450476821588	19.201202876795225	1.0	27.964281245145873	0.0	0.0	0.0	0.0	13.0	5.0	A34-A69;A43-A65;A47-A58;A51-A89;A71-A83	-0.08854166666666691	1.2046542858720635
Aethina_tumida_1	Aethina_tumida	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Aethina_tumida/Aethina_tumida.fas.pasta.toxin_renomeado.fasta	1	0.999643	76	10	0.13157894736842105	C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,7,3,3,1,11,5	1.1999999999999993	-0.21315789473684205	0.06578947368421052	13.126315789473686	SP(Sec/SPI)	1	80.10815206998782	20.991708716197863	1.0	24.133804460160448	0.0	0.0	0.0	0.0	10.0	5.0	A23-A56;A32-A52;A36-A48;A40-A76;A58-A70	-0.21315789473684205	1.1692177485960222
Eophileurus_sp_2	Eophileurus_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Eophileurus_sp/GKKC00000000.toxin_renomeado.fasta	1	0.999708	82	10	0.12195121951219512	C-x(9)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(10)-C-x(5)-C	9,3,3,7,3,3,1,10,5	5.1	-0.19390243902439022	0.0975609756097561	38.61219512195121	SP(Sec/SPI)	1	73.15460098218843	22.597345313139694	1.0	27.473759438137222	0.0	0.0	0.0	0.0	10.0	5.0	A29-A63;A39-A59;A43-A55;A47-A82;A65-A76	-0.19390243902439022	1.1552035756262027
Aethina_tumida_2	Aethina_tumida	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Aethina_tumida/Aethina_tumida.fas.pasta.toxin_renomeado.fasta	0	0.211397	78	11	0.14102564102564102	C-x(16)-C-x(8)-C-x(3)-C-x(3)-C-x(7)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	16,8,3,3,7,3,3,1,11,5	2.0999999999999996	-0.496153846153846	0.07692307692307693	23.344871794871793	OTHER	0	73.3531333732605	26.375231739889937	1.0	22.083803304269328	0.0	0.0	0.0	0.0	11.0	5.0	A25-A58;A34-A54;A38-A50;A42-A78;A60-A72	-0.496153846153846	1.0697930898434078
Neoserica_sp_1	Neoserica_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Neoserica_sp/GKKO00000000.toxin_renomeado.fasta	1	0.998937	74	7	0.0945945945945946	C-x(14)-C-x(3)-C-x(7)-C-x(14)-C-x(6)-C-x(14)-C	14,3,7,14,6,14	2.0	0.29729729729729704	0.10810810810810811	34.762162162162156	SP(Sec/SPI)	1	79.89297021755225	21.232712856263237	1.0	23.091887040774907	0.0	0.0	0.0	0.0	7.0	3.0	A25-A59;A29-A52;A37-A74	0.29729729729729704	0.9125702633817185
Sitophilus_oryzae_2	Sitophilus_oryzae	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Sitophilus_oryzae/Sitophilus_oryzae.fas.pasta.toxin_renomeado.fasta	1	0.996533	93	8	0.08602150537634409	C-x(2)-C-x(13)-C-x(10)-C-x(15)-C-x(7)-C-x(12)-C-x(7)-C	2,13,10,15,7,12,7	2.1999999999999993	0.25483870967741945	0.08602150537634408	36.03978494623656	SP(Sec/SPI)	1	79.53422531880123	25.19216276410045	1.0	20.36138583443239	0.0	0.0	0.0	0.0	8.0	3.0	A32-A88;A43-A67;A59-A80	0.25483870967741945	0.896792552544315
Cucujus_clavipes_1	Cucujus_clavipes	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Cucujus_clavipes/Cucujus_clavipes.fas.pasta.toxin_renomeado.fasta	1	0.992596	93	7	0.07526881720430108	C-x(9)-C-x(10)-C-x(15)-C-x(7)-C-x(12)-C-x(7)-C	9,10,15,7,12,7	2.0	0.2935483870967742	0.0967741935483871	31.13763440860215	SP(Sec/SPI)	1	75.8710305391912	24.060901703542793	1.0	20.7985902144205	0.0	0.0	0.0	0.0	7.0	3.0	A34-A90;A45-A69;A61-A82	0.2935483870967742	0.8965592967780855
